ticker,nome,setor,anos_disponiveis,anos_com_prejuizo,roe_medio_%,roe_desvio_padrao_%,debt_to_equity,margem_liquida_%,percentil_margem_setor_%,nivel_governanca,aprovado_final,observacoes,volume
WEGE3,WEG S.A.,Bens Industriais,10,0,37.86,0,0.54833394,16.72,100,,,,7150700
IGTI11,IGUATEMI S.A.,Construção e Imobiliário,10,0,14.64,0,0.88002473,46.52,71.43,,,,3145400
,,,,,,,,,,,,,3588400
MULT3,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Construção e Imobiliário,10,0,18.89,0,0.9208247,40.24,57.14,,,,3812500
GRND3,GRENDENE S.A.,Consumo Cíclico,10,0,19.96,0,0.052315854,24.8,83.33,,,,1397800
LREN3,LOJAS RENNER S.A.,Consumo Cíclico,10,0,14.41,0,0.22731335,9.37,50,,,,14517000
,,,,,,,,,,,,,1040700
HYPE3,HYPERA S.A.,Consumo Não Cíclico,10,0,11.88,0,0.6423079,19.43,66.67,,,,3387800
EGIE3,ENGIE BRASIL ENERGIA S.A.,Energia,10,0,20.76,0,2.9912694,21.3,54.55,,,,1624700
ISAE4,ISA ENERGIA BRASIL S.A,Energia,10,0,11.23,0,1.1628443,25.29,81.82,,,,2157400
PETR3,PETROLEO BRASILEIRO S.A. PETROBRAS,Energia,10,1,24.27,0,1.5206507,21.69,63.64,,,,9670800
PETR4,PETROLEO BRASILEIRO S.A. PETROBRAS,Energia,10,1,24.27,0,1.5206507,21.69,63.64,,,,27316800
TAEE11,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Energia,10,0,19.7,0,1.8478104,33.52,90.91,,,,1954100
ITSA4,ITAUSA S.A.,Finance,10,0,18.91,0,0.17081688,203.91,50,,,,24938300
MOTV3,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,Infraestrutura,10,0,22.02,0,2.6904998,19.31,100,,,,9369100
POMO4,MARCOPOLO S.A.,Producer Manufacturing,10,0,30.95,0,0.8762808,13.91,100,,,,5895000
SBSP3,CIA SANEAMENTO BASICO EST SAO PAULO,Saneamento,10,0,19.97,0,1.438069,22.03,50,,,,13427200
FLRY3,FLEURY S.A.,Saúde,10,0,11.93,0,1.258124,7.28,100,,,,2896000
B3SA3,B3 S.A. - BRASIL. BOLSA. BALCÃO,Serviços Financeiros,10,0,27.16,0,1.2509038,42.5,75,,,,41457700
BPAC11,BCO BTG PACTUAL S.A.,Serviços Financeiros,10,0,23.48,0,9.131484282,58.98,87.5,,,,15106500
ITUB3,ITAU UNIBANCO HOLDING S.A.,Serviços Financeiros,10,0,22.42,0,13.41343623,12.1,50,,,,1751700
ITUB4,ITAU UNIBANCO HOLDING S.A.,Serviços Financeiros,10,0,22.42,0,13.41343623,12.1,50,,,,28815100
TOTS3,TOTVS S.A.,Tecnologia,10,0,19.18,0,1.122174,15.85,100,,,,4573200
ALUP11,ALUPAR INVESTIMENTO S/A,Utilities,10,0,17.08,0,2.2066908,35.8,100,,,,1035300
