ticker,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
ALUP11,1,1,6,2,1,0,1,1,1,0,0,2,1,3,2,2,4,3,4,1,5,4,2,2,2,2,3,4,2,3,8,7,2,5,0,8,4,3,10,5,5,8,6,5,1,7,7,7,10,8,9,7,10,11,10,7,13,12,16,15,19,14,17,17,24,24
B3SA3,8,9,10,9,9,9,10,10,9,9,9,9,10,7,10,6,6,7,5,8,10,9,11,9,10,8,8,10,6,9,13,7,14,12,4,10,9,9,10,12,11,14,19,13,17,13,13,11,4,15,13,13,10,18,14,16,24,27,30,27,31,26,31,29,28,30
BPAC11,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,26,25,25,25,25,25,25,25,26,25,26,25,25,27,27,27,25,27,25,26,25,27,27,25,25,25,25,26,26,25,25,25,25,26,25,26,26,25,25,25,27,25,26,28,25
EGIE3,8,11,13,8,22,14,12,20,14,10,9,9,10,8,9,6,16,10,10,9,19,11,9,16,8,19,19,10,12,13,12,14,15,17,22,16,15,20,20,15,14,12,18,20,21,19,16,13,19,25,24,20,25,25,25,24,25,26,25,25,25,25,26,25,26,25
FLRY3,11,12,12,23,19,16,20,24,17,20,23,16,14,15,24,18,23,24,18,24,22,25,25,23,22,17,23,19,25,19,23,25,25,25,25,22,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,26,25,25
GRND3,9,5,9,7,10,4,12,7,13,12,4,8,3,2,10,7,7,6,8,9,15,9,10,8,6,2,6,6,4,6,8,11,9,9,8,3,9,10,9,8,9,10,7,8,9,8,7,9,9,10,10,7,8,7,7,10,8,8,11,25,10,14,25,25,25,25
HYPE3,10,12,4,12,4,5,25,10,10,7,8,0,4,3,6,6,9,4,9,10,7,10,9,7,7,6,8,7,9,8,7,6,7,9,7,15,10,12,8,14,4,9,9,6,15,25,7,10,9,11,24,16,10,11,13,24,21,20,21,25,24,25,25,25,25,25
IGTI11,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,25,25,25,25,25,25,25,25,26,25,26,25,25,25,26,25,25,25,26,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
ISAE4,4,1,1,1,1,1,3,3,1,6,5,1,1,6,2,3,2,2,7,1,0,3,4,2,6,2,8,4,3,6,1,9,6,4,5,4,6,7,8,6,9,9,10,9,8,12,22,8,5,9,7,8,10,12,13,11,18,15,18,25,21,25,25,25,25,25
ITSA4,5,7,10,14,19,7,14,11,9,14,13,8,10,13,8,11,7,9,12,24,21,8,9,16,6,9,17,3,12,18,10,8,14,15,13,19,18,12,15,17,14,13,9,26,25,12,16,21,18,20,25,25,25,25,25,28,25,25,25,25,25,26,26,25,26,26
ITUB4,25,23,25,25,25,25,25,28,26,25,25,27,25,25,26,26,25,26,25,25,25,25,25,25,25,26,25,26,27,28,29,28,28,25,29,27,27,27,27,28,27,26,27,29,31,27,30,28,26,28,26,25,25,28,29,27,26,27,35,30,25,28,29,28,28,26
LREN3,3,6,7,20,18,16,15,26,8,14,14,16,12,3,19,14,20,15,12,21,10,17,17,12,20,17,14,11,21,18,16,17,12,13,18,8,11,22,19,20,15,11,16,21,18,14,21,19,15,25,19,16,26,25,25,25,25,20,26,25,25,25,25,25,25,25
MOTV3,4,1,1,10,10,9,6,6,1,10,8,5,10,8,9,4,7,3,7,8,7,8,9,7,7,7,4,9,10,6,6,9,10,8,10,6,10,8,7,9,10,8,11,8,10,14,8,10,11,9,19,10,11,9,12,17,13,14,19,17,13,15,24,25,20,21
MULT3,10,5,6,10,5,9,7,6,9,8,12,9,5,5,5,8,8,12,9,21,10,10,9,6,17,11,7,9,10,8,13,13,8,14,7,9,8,10,13,16,15,13,18,13,14,23,15,14,11,21,15,17,18,25,24,25,21,25,25,25,25,26,25,26,25,25
PETR4,25,25,25,25,25,25,33,41,46,70,45,44,39,31,104,63,66,98,81,64,58,55,49,49,53,43,63,78,192,108,95,128,83,112,104,75,69,73,169,191,211,91,96,87,83,72,78,55,75,87,62,76,86,53,76,90,57,97,90,70,66,57,156,122,104,79
POMO4,16,15,23,10,25,24,23,25,25,17,25,20,24,25,25,19,25,21,23,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25
SBSP3,19,19,23,23,23,25,27,27,28,27,25,26,26,26,27,26,26,26,28,29,25,30,27,32,30,26,32,33,33,28,34,47,31,50,42,71,29,34,36,44,49,70,86,46,35,32,30,37,37,27,31,33,30,26,36,51,33,43,30,41,47,39,39,39,52,46
TAEE11,3,0,3,2,0,1,2,5,5,2,1,5,0,5,1,2,5,5,2,2,3,1,3,4,7,4,3,10,4,1,1,8,7,2,4,5,7,5,9,6,11,5,8,14,4,8,9,7,4,3,10,7,8,8,8,17,15,9,24,20,19,20,25,25,25,26
TOTS3,8,9,19,10,14,12,12,13,5,6,9,8,10,6,13,9,16,8,7,17,8,8,7,6,3,1,11,6,18,20,20,16,8,9,18,15,11,22,21,23,19,25,16,14,20,19,25,21,16,25,25,14,25,26,25,25,25,25,25,26,25,25,25,25,25,25
WEGE3,12,9,11,25,22,17,18,24,23,16,17,12,14,13,13,15,15,16,25,22,25,15,14,18,18,20,25,17,24,19,25,18,27,25,21,25,23,18,25,25,25,25,23,26,28,26,25,25,27,26,26,26,25,25,25,25,28,25,25,26,25,25,25,25,25,25
