noticia_id,titulo,sentimento_llm,entidade_llm,ticker_mapeado,sentimento_humano_PREENCHER
66944,dolar abre em leve queda apos flavio bolsonaro sinalizar pode desistir de disputar presidencia,positivo,Ibovespa,,
73845,"Vivara (VIVA3) abre 18 novas lojas no 3T23, com foco na linha Life",positivo,Vivara,,
56581,stf condena fernando collor a 8 anos e 10 meses de prisao,neutro,Nenhuma,,
78078,Alto Escalão: Totvs tem novo CEO para Techfin,neutro,Totvs,TOTS3,
62175,com 386 quedas de arvores e 168 semaforos inoperantes nunes culpa enel pelos problemas na cidade de sp apos temporal,negativo,Enel,,
91529,Sabesp (SBSP3): Governo de São Paulo lança guia de desestatização da companhia,positivo,Sabesp,SBSP3,
60756,powell vale china meta fiscal e mais assuntos que vao movimentar o mercado hoje,neutro,Ibovespa,,
85805,Renner anuncia retomada da expansão física com 170 lojas até 2030,positivo,Lojas Renner,LREN3,
79080,Grendene SA enfrenta desafios financeiros no quarto trimestre de 2025,negativo,Grendene,GRND3,
94260,WEG (WEGE3) divulga os resultados do terceiro trimestre de 2022 (3T22),neutro,WEG,WEGE3,
61489,petrobras adaptacao antigas plataformas petroleo,negativo,petrobras,PETR4,
61045,samuel pessoa privatizacao petrobras carga tributaria acertar fiscal,neutro,petrobras,PETR4,
91168,"Sabesp realiza novos bloqueios na Rua Goiás, em Santos",negativo,Sabesp,SBSP3,
81380,Iguatemi Bosque brinda clientes I’Club com a coleção exclusiva da Le Creuset - Portal IN - Pompeu Vasconcelos,neutro,Iguatemi,IGTI11,
91049,"Esgoto de supertúnel que se rompeu na Marginal será direcionado para tubulação desativada, e não será despejado no Tietê, diz Sabesp",neutro,Sabesp,SBSP3,
94506,Conheça a empresa com mais bilionários no Brasil,neutro,Weg,WEGE3,
66818,defesa civil alerta para tempestades com ventos de ate 100 kmh em sp entre sexta 7 e sabado 8,negativo,Enel,,
82356,"10 empresas que geraram mais bilionários no Brasil, segundo a lista da Forbes",neutro,N/A,,
94047,Casal catarinense compra mansão da apresentadora Xuxa Meneguel,neutro,nenhuma,,
77380,Plataforma do Fleury reúne produtos e serviços de saúde em um só lugar,positivo,Fleury,FLRY3,
59108,eleitores tem visao bem racional sobre o que foi a lava jato diz diretor da quaest,neutro,nenhuma,,
63222,servico geologico enfrenta restricao orcamentaria e corre para mapear minerais criticos do brasil,negativo,Setor de Mineração,,
83436,Itaú permitirá 'pulo' de até 2 parcelas de financiamento imobiliário por ano,neutro,Itaú,ITUB4,
79937,Teatro Oficina do Estudante Iguatemi Campinas ficará fechado até o dia 28 de fevereiro,neutro,Iguatemi,IGTI11,
93921,Weg anuncia novos investimentos em Minas Gerais,positivo,Weg,WEGE3,
81551,Polícia Civil cumpre mandados judiciais e interdita estabelecimento após investigação de homicídio qualificado em Iguatemi,neutro,Nenhuma,,
89573,Renault Duster ganha nova versão de entrada,neutro,Renault,,
75367,ARX Investimentos contrata ex-BTG como economista-chefe,neutro,BTG Pactual,BPAC11,
87481,Ação da Multiplan entrega retorno de 43% após alerta de Preço-justo,positivo,Multiplan,MULT3,
62070,moraes suspende todas as acoes sobre iof e determina que governo e congresso cheguem a consenso,neutro,nenhuma,,
93980,"Turbinas de combustão a gás hidrogênio e a biodiesel para backup solar em usina, da Siemens Energy, promete revolucionar a geração de energia renovável no mundo",positivo,Siemens Energy,,
88490,Petrobras signs memorandum of understanding with Chinese company CNCEC,positivo,Petrobras,PETR4,
80342,"Terenos, Iguatemi e Anastácio comemoram aniversário neste domingo",neutro,Iguatemi,IGTI11,
92897,"Ebanx, unicórnio especializado em pagamentos, anuncia novo CEO",neutro,Ebanx,,
62855,petrobras reduz preco medio do gas para distribuidoras em 1 a partir de fevereiro,negativo,Petrobras,PETR4,
90943,Sabesp demora para transferir conta de água,negativo,Sabesp,SBSP3,
55425,melhores acoes dividendos maio 2023,positivo,B3,B3SA3,
59739,ibovespa hoje bolsa de valores ao vivo,neutro,Ibovespa,,
74955,BTG Pactual libera até R$ 2 bi em crédito para PMEs via programa do BNDES; veja como solicitar,positivo,BTG Pactual,BPAC11,
65830,veja quais acoes pagam dividendos acima do cdi com a selic em 15,positivo,Ações,,
94777,"A Weg é uma ""máquina"" de resultados (mas aumento das despesas vira preocupação)",negativo,Weg,WEGE3,
85554,"Lojas Renner tenta apaziguar ânimos do mercado após anúncio de bônus gordo em 2024, mas ações LREN3 estendem queda na B3",negativo,Lojas Renner,LREN3,
92925,Laboratório Femme escolhe soluções TOTVS para automatizar processos e aumentar a produtividade,positivo,Totvs,TOTS3,
94972,UFSM firma acordo de transferência de tecnologia com gigante brasileira do setor elétrico,positivo,WEG,WEGE3,
57828,petrobras medicao de ventos rio grande do norte,positivo,Petrobras,PETR4,
62078,haddad nem meirelles nem guedes conseguiram produzir superavit sustentavel das contas publicas,neutro,Nenhuma,,
78502,Citi prevê que Fleury (FLRY3) terá resultados em linha com o esperado no 1TRI26,neutro,Fleury,FLRY3,
60788,petrobras reduz preco do querosene de aviacao em 06 nas principais pracas,positivo,Setor Aéreo,,
84163,Dividendos da semana: Cielo e bancos estão entre as empresas que pagam,positivo,Itaú Unibanco,ITUB4,
91038,Sabesp disponibiliza atendimento por WhatsApp em Várzea Paulista,neutro,Sabesp,SBSP3,
59775,acoes da petrobras petr3petr4 sobem mais de 3 com novo avanco do petroleo,positivo,Petrobras,PETR4,
55222,exclusive pemexs trading arm bans new business with trafigura sources idUSKBN2EL2A8,negativo,Trafigura,,
61952,defesa civil interdita sete imoveis em rua do jardim angela na zona sul de sp apos rompimento de adutora inundar casas,negativo,Sabesp,SBSP3,
63619,moro faz ofensiva contra medida que favorece braskem,negativo,Braskem,,
82737,Itaúsa (ITSA4) pagará acionistas após vender frações resultantes de aumento de capital; entenda,neutro,Itaúsa,ITSA4,
65656,ibovespa cai 092 com hapvida e construtoras entre maiores baixas veja destaques,negativo,hapvida,,
76338,Solução de retrofit traz segurança e eficiência para fornecedor de energia da Bélgica,neutro,N/A,,
76192,Parque Linear do Córrego Lagoinha recebe 62 postes de iluminação de LED,neutro,Nenhuma,,
73935,Quanto rendem R$ 10 mil no Tesouro Direto?,neutro,Tesouro Direto,,
92052,Sabesp admite que está lançando esgoto sem tratamento no Rio Tietê para esvaziar tubulação rompida na Marginal,negativo,Sabesp,SBSP3,
62168,governo prepara decreto para endurecer regras contra fraudes na mistura de biodiesel no diesel,positivo,petrobras,PETR4,
90227,Volare fortalece liderança com lançamento de modelos que se destacam por novas tecnologias,positivo,Volare,,
53893,russia ataca ucrania impacto ibovespa,negativo,Ibovespa,,
79734,Conheça o projeto que valoriza quem está na linha de frente das farmácias,neutro,Hypera Pharma,HYPE3,
66183,ibovespa reduz folego apos testar 154 mil pontos mas tem recorde e 12 altas seguidas,positivo,Ibovespa,,
56712,preco da gasolina aumenta cerca de 10 centavos em rio branco e consumidores reclamam,neutro,Petrobras,PETR4,
59581,"Dólar fecha em R$ 5,16 e tem maior patamar do mês até agora, com juro dos EUA no radar; Ibovespa cai",negativo,Ibovespa,,
84410,Citi: eventual queda das ações do Itaú (ITUB4) pode ser oportunidade de compra; entenda,positivo,Itaú,ITUB4,
90565,Marcopolo entrega primeiro ônibus Geração 8 movido a biometano para a Pássaro Marron,positivo,Marcopolo,POMO4,
79456,A guerra da ressaca: Hypera entra na Justiça contra a Cimed por concorrência com Engov,negativo,Hypera,HYPE3,
64077,estaleiro acusado na lava jato por propinas a vaccari e duque fecha acordo de r 728 milhoes,negativo,Estaleiro,,
57626,como universidade no agreste nordestino virou lider em patentes no setor academico,neutro,nenhuma,,
65701,bofa rebaixa exposicao brasil para neutro ao ver selic a 1425 no fim de 2026 veja acoes,negativo,ibovespa,,
91004,Sabesp realiza reparo emergencial em adutora e pede 'uso consciente',negativo,Sabesp,SBSP3,
85107,Lojas Renner lança programa de fidelidade e plataforma financeira; veja os destaques do Radar,positivo,Lojas Renner,LREN3,
78281,Fleury tem queda de 12% no lucro do 2º tri com maiores investimentos,negativo,Fleury,FLRY3,
62166,com agua cortada por divida de r 380 mil sabesp flagra restaurantes de lilian goncalves com gatos e aciona policia empresaria nega,positivo,Sabesp,SBSP3,
54676,reajuste nos precos dos combustiveis gera filas em postos no litoral de sp,positivo,Petrobras,PETR4,
84002,COMUNICADO,neutro,N/A,,
66408,ibovespa hoje bolsa de valores ao vivo,neutro,Ibovespa,,
73463,"Banco Central decreta liquidação da Reag, envolvida nos casos PCC e Master",negativo,Reag,,
66864,novonor fecha acordo de exclusividade para vender participacao na braskem para ig4,positivo,Braskem,,
87672,Retenção ilícita de recebíveis dos seus contratados pela Petrobras,negativo,Petrobras,PETR4,
86346,CCR (CCRO3) propõe mudança de nome para MOTIVA em assembleia,neutro,CCR,MOTV3,
57335,decision block petrobras amazon project roils lula coalition,negativo,petrobras,PETR4,
91738,"Equatorial é única a apresentar proposta e se torna acionista de referência da Sabesp por R$ 6,9 bi",positivo,Sabesp,SBSP3,
64562,petrobras celebra 30 anos de cinema brasileiro na ccxp,neutro,petrobras,PETR4,
